,locator_address,coord
105,"19011 68th ave s. ste a-110, tukwila, wa 98188 Tukwila WA 98188","(47.4317168, -122.2494377)"
106,"23128 state route 9 se, #2, woodinville, wa 98072 Woodinville WA 98072","(47.749414553262426, -122.14058721992338)"
107,"217 174th st s, spanaway, washington 98387 Spanaway WA 98387","(47.099389, -122.43527092307693)"
108,"delivery only, puyallup, wa 98373 Puyallup WA 98373","(47.148495009859595, -122.30967768622351)"
109,"510 1/2 112th st s, tacoma, washington 98444 Tacoma WA 98444","(47.144166711098435, -122.43904431285577)"
110,"1120 112th st sw, everett, wa 98204 Everett WA 98204","(47.896365, -122.24893017453766)"
111,"14702 hwy 99, lynnwood, wa 98087 Lynnwood WA 98087","(47.8479246, -122.2941206)"
112,"14702 hwy 99,lynnwood,washington 98087 Lynnwood WA 98087","(47.8479246, -122.2941206)"
113,"delivery mercer island, mercer island, wa 98040 Mercer island WA 98040","(47.57542637850638, -122.22844220647241)"
114,"6708 144th st nw suite a, gig harbor, wa 98332 Gig harbor WA 98332","(47.38896081159457, -122.6284832692298)"
115,"39817 n newport hwy, elk, wa 99009 Elk WA 99009","(47.96433780079796, -117.25398482465663)"
116,"3228 hwy 101 e, port angeles, wa 98362 Port angeles WA 98362","(48.109934345053915, -123.40910237349117)"
117,"vancouver delivery, vancouver, washington 98664 Vancouver WA 98664","(45.623032859558556, -122.5710713099691)"
118,"delivery only, vancouver, washington 98664 Vancouver WA 98664","(45.623032859558556, -122.5710713099691)"
119,"1212 n grand pullman, pullman, wa 99163 Pullman WA 99163","(46.74695056257446, -117.18428184232538)"
120,"1212 n grand pullman,pullman,washington 99163 Pullman WA 99163","(46.74695056257446, -117.18428184232538)"
121,"19001 vashon hwy sw, vashon, wa 98070 Vashon WA 98070","(47.43467351758794, -122.46061103015076)"
122,"19001 vashon hwy sw,vashon,washington 98070 Vashon WA 98070","(47.43467351758794, -122.46061103015076)"
123,"7604 south tacoma way ste b, tacoma, wa 98409 Tacoma WA 98409","(47.188001, -122.483795)"
124,"3904 ne 4th st. #103, renton, wa 98056 Renton WA 98056","(47.50900781229799, -122.18371623140865)"
125,"1716 n ash st, spokane, wa 99205 Spokane WA 99205","(47.673274959727884, -117.436882)"
126,"909 e francis, spokane, wa 99208 Spokane WA 99208","(47.7150896941938, -117.42452114808798)"
127,"4503 ocean beach hwy, longview, wa 98632 Longview WA 98632","(46.162756271527755, -122.9981648141596)"
128,"810-a westside highway, kelso, wa 98626 Kelso WA 98626","(46.1572769, -122.9157064)"
129,"delivery only, marysville, wa 98270 Marysville WA 98270","(48.05993149987965, -122.14620976665768)"
130,"jackson highway, chehalis, wa 98532 Chehalis WA 98532","(46.6279083, -122.9061901)"
131,"delivery only, chehalis, wa 98532 Chehalis WA 98532","(46.635550834470806, -122.78623883532111)"
132,"deliveries only, lynnwood, mountlake terrace, edmonds, bothell, seattle, wa 98036, 98043, 98020, 98026, 98021, 98133, 98177 Lynnwood, mountlake terrace, edmonds, bothell, seattle WA 98036","(47.816390999013834, -122.2977182025082)"
133,"snohomish county, washington, everett, lynnwood, mill creek, snohomish, wa 98204, 98208, 98201, 98205, 98203, 98037, 98087, 98012 Everett, lynnwood, mill creek, snohomish WA 98204","(47.89748163390665, -122.25369420012953)"
134,"delivery only, bellevue, kirkland, juanita, bothell, woodinville, redmond, sammamish, duvall, issaquah, wa 98004, 98034, 98033, 98072 Bellevue, kirkland, juanita, bothell, woodinville, redmond, sammamish, duvall, issaquah WA 98004","(47.62566512710645, -122.20357270879583)"
135,"delivery only, bellevue, wa 98004 Bellevue WA 98004","(47.62566512710645, -122.20357270879583)"
136,"15804 hwy 99 suite a, lynnwood, wa 98087 Lynnwood WA 98087","(47.8552774911027, -122.29040562357478)"
137,"11012 canyon rd. e. suite 43, puyallup, wa 98373 Puyallup WA 98373","(47.155836, -122.35915369036005)"
138,"10217 128th st e, suite e, puyallup, wa 98374 Puyallup WA 98374","(47.14021211200006, -122.28991882934626)"
