,locator_address,coord
105,3948 3rd ave Loon lake WA 98148,"(48.06129873623798, -117.62212283072355)"
106,8459 main st Dryden WA 98821,"(47.5414872, -120.560614)"
107,2413 e union st Seattle WA 98122,"(47.61269805, -122.30075927590765)"
108,5303 pacific hwy e Fife WA 98424,"(47.24314294510502, -122.35786825747635)"
109,11821 canyon rd e Puyallup WA 98373,"(47.14828819277108, -122.3571176506024)"
110,19129 smokey point blvd ste b Arlington WA 98223,"(48.16892911421159, -122.18694104134116)"
111,421 lilly rd se Olympia WA 98501,"(47.04692366658869, -122.8444475022433)"
112,1110 charleston beach rd w Bremerton WA 98312,"(47.55397426549133, -122.6591664219999)"
113,551 14th ave Longview WA 98632,"(46.123620669496866, -122.94256420029907)"
114,19943 old hwy 99 sw Rochester WA 98579,"(46.7984711, -123.0125927)"
115,6018 ne st johns rd ste d Vancouver WA 98661,"(45.6661136, -122.6369275)"
116,1107 n callow ave ste c Bremerton WA 98312,"(47.5713432, -122.653582)"
117,4220 meridian st ste 102 Bellingham WA 98226,"(48.79407214285714, -122.48587428571429)"
118,420 sunset blvd n ste a Renton WA 98055,"(47.4893486, -122.19359483092205)"
119,484 evergreen dr North bonneville WA 98639,"(45.642022742458714, -121.9844186333944)"
120,1131 e state route 532 Camano island WA 98282,
121,207 e sprague ave unit 213 Spokane WA 99202,"(47.6572069, -117.3921038)"
122,3134 e highway 101 suite a Port angeles WA 98362,"(48.1046877, -123.3873143)"
123,7011 n division st ste a Spokane WA 99208,"(47.721400555555554, -117.41143944444444)"
124,29297 hwy 410 e ste d Buckley WA 98321,
125,2 columbia dr Kettle falls WA 99141,"(48.62686793831287, -118.12307455835501)"
126,5740 ruddell rd se ste c Lacey WA 98503,"(46.99859335083878, -122.80715574883398)"
127,207 s 9th ave Walla walla WA 99362,"(46.06067015306582, -118.34630481186598)"
128,2714 henson rd Mount vernon WA 98273,"(48.39992375, -122.33236669733344)"
129,1510 n wenatchee ave Wenatchee WA 98801,"(47.44403308611902, -120.32739758962728)"
130,17 n ralph st ste 102 Spokane WA 99202,"(47.65797526530613, -117.3623608367347)"
131,10707 pacific ave s suite d Tacoma WA 98444,"(47.15982485714286, -122.4340845510204)"
132,230 ne juniper st #101a Issaquah WA 98027,
133,10333 lake city way ne #101 Seattle WA 98125,"(47.70402655, -122.302067630569)"
134,1728 4th ave s Seattle WA 98134,"(47.58731625, -122.32863562663545)"
135,755 w washington st ste c Sequim WA 98382,"(48.07976727242562, -123.11920572787095)"
136,721 6th st Clarkston WA 99403,"(46.41494063478768, -117.045442015966)"
137,133 state ave Brewster WA 98812,"(42.02153757575758, -93.65922883838384)"
138,1403 e 1st street Port angeles WA 98362,"(48.108715145124904, -123.4080807376618)"
139,260 merlot dr Prosser WA 99350,"(46.2197899, -119.78451687512356)"
140,12525 willows rd ne ste 60 Kirkland WA 98034,"(47.7130985, -122.1542094)"
141,1006 california way Longview WA 98632,"(46.12164577330626, -122.93612849894487)"
142,4315 main st ste a Union gap WA 98903,"(46.54393804166667, -120.47591705555556)"
143,3863 hannegan rd Bellingham WA 98226,"(48.7883286, -122.4431592)"
144,820 westside hwy Kelso WA 98626,"(46.1572769, -122.9157064)"
145,650 llama ln Goldendale WA 98620,"(45.8278466, -120.8042201)"
146,23407 pacific hwy s Des moines WA 98198,"(47.3916981, -122.2956842925926)"
147,9804 lake city way ne ste a Seattle WA 98125,"(47.7119625, -122.2995078)"
148,401 south boone Aberdeen WA 98520,"(46.965403, -123.802502)"
149,728 6th st Clarkston WA 99403,"(46.41506607516208, -117.04567563061914)"
150,18420 68th ave s #102 Kent WA 98032,
151,15928 hwy 99 Lynnwood WA 98087,"(47.8479246, -122.2941206)"
152,10697 main st ste b Bellevue WA 98004,"(47.61004106122449, -122.1982682244898)"
153,661 ness' corner rd Port hadlock WA 98339,"(48.03308577655684, -122.7688273579735)"
154,828 rainier ave s Seattle WA 98144,"(47.594969750000004, -122.3103141)"
155,1824 broadway Everett WA 98201,"(47.99332416578682, -122.2013343821281)"
156,5209 martin luther king jr. Seattle WA 98118,"(46.2521745, -119.1200041)"
157,824 s 28th st Tacoma WA 98409,"(47.23518535225989, -122.44366703677845)"
158,3202 e portland ave Tacoma WA 98404,"(47.23459406122449, -122.40959444897959)"
159,417 nw 65th st Seattle WA 98117,"(47.6758804, -122.3626484)"
160,19001 vashon highway southwest Vashon island WA 98070,"(47.43467351758794, -122.46061103015076)"
161,10326 aurora ave n Seattle WA 98133,"(47.7040911, -122.34434)"
162,600 s first street Roslyn WA 98941,"(48.389228, -122.49845)"
163,1151 market st Union gap WA 98903,"(46.5618924, -120.4796853)"
164,27623 covington way se unit 1 Covington WA 98042,"(47.35362915, -122.12289235290416)"
165,21127 state route 9 se Woodinville WA 98072,"(48.337465861518794, -122.20812324853327)"
166,21127 state rt 9 se Woodinville WA 98072,
167,20925 cypress way ste c-103 Lynnwood WA 98036,"(47.80869155102041, -122.26009946938775)"
168,1225 hollis st Bremerton WA 98310,"(47.602517102040814, -122.62837491836734)"
169,1300 n 40th st ste 111 Yakima WA 98908,"(47.655492, -122.342297)"
170,6309 evergreen way ste c Everett WA 98203,"(47.940211716559325, -122.21781775751349)"
171,10901 bridgeport way sw ste a Lakewood WA 98499,"(47.158059, -122.50443)"
172,4912 17th ave nw ste a Seattle WA 98107,"(47.6648125, -122.37862068950108)"
173,2310 east union st Seattle WA 98122,"(47.613357199999996, -122.30215047646084)"
174,5309 guide meridian rd suite a Bellingham WA 98226,"(48.833695750000004, -122.48647740063595)"
175,1374 se lund ave Port orchard WA 98366,"(47.51955377867557, -122.63339422114886)"
176,400 burdin ave Grand coulee WA 99133,"(47.9431491, -119.0047414)"
177,15001 aurora ave n Shoreline WA 98133,"(47.738176853146854, -122.34543943356644)"
178,11463 rainier ave s ste a Seattle WA 98178,"(47.4994948, -122.2212081)"
179,18729 fir island rd ste c Mount vernon WA 98273,"(48.3416797, -122.3405884)"
180,625 n callow ave Bremerton WA 98312,"(47.5672599, -122.6532876)"
181,9301 n division st ste b-c Spokane WA 99218,"(47.74094853030712, -117.41119903389651)"
182,4218 rucker ave Everett WA 98203,"(47.96167535150742, -122.21084374873355)"
183,2294 state route 109 Hoquiam WA 98550,"(46.9833172, -123.9358157)"
184,402 16th st ne ste a-100 Auburn WA 98002,"(47.32172545, -122.22421600036509)"
185,1305 s hayford rd ste a Airway heights WA 99224,"(47.6005213, -117.5644848)"
186,12059 aurora ave n Seattle WA 98133,"(47.71751765, -122.34551164875435)"
187,410 ronlee ln nw a1 Olympia WA 98502,
188,536 marine dr ste b Port angeles WA 98363,"(48.12182068985858, -123.44354775924884)"
189,903 engh rd ste c Omak WA 98841,"(48.41683324263404, -119.50746865335724)"
190,6167 portal way Ferndale WA 98248,"(48.86491939750441, -122.58473722203561)"
191,12925 martin luther kingjr way Seattle WA 98178,
192,3012 gs center rd ste a Wenatchee WA 98801,"(47.472494028338325, -120.33050029101436)"
193,2815 st. johns road ste b Vancouver WA 98661,"(48.6616232, -123.1449993)"
194,1301 n 2nd st Yakima WA 98901,"(46.618965, -120.51053)"
195,3230 1st ave s ste b Seattle WA 98134,"(47.57459, -122.3338967)"
196,14343 15th ave ne Seattle WA 98125,"(47.7331709, -122.313052)"
197,2358 elmway Okanogan WA 98840,"(48.391638, -119.548913)"
198,8040 ne day rd w bldg 3 ste 1 Bainbridge island WA 98110,
199,16053 aurora ave n ste b Shoreline WA 98133,"(47.74544830872483, -122.34568804697986)"
200,1421 n mullan rd ste b Spokane valley WA 99206,"(47.66985739398312, -117.281657)"
201,9616 e sprague ave Spokane valley WA 99206,"(47.65692286964254, -117.27592549480852)"
202,9626 32nd st se Lake stevens WA 98205,"(47.96721786382875, -122.10182116380446)"
203,4033 ne sunset blvd unit 5 Renton WA 98056,"(47.50373415, -122.16527732518702)"
204,1037 w marina dr Moses lake WA 98837,"(47.124658790240055, -119.29154024265807)"
205,230 ne juniper st ste#201 Issaquah WA 98027,"(47.5394363, -122.031936)"
206,10825 myers way s Seattle WA 98168,"(47.5130718, -122.3297958)"
207,218 n samish way ste 103 Bellingham WA 98225,"(48.738132, -122.4696933)"
