County,MHI_5y,MHI_white_5y,MHI_black_5y,MHI_am_indian_5y,MHI_asian_5y,MHI_haw_pac_5y,MHI_other_5y,MHI_two_plus_5y,MHI_hispanic_5y,MHI_white_not_hispanic_5y,population_5y,population_21plus_5y,male_percent_5y,female_percent_5y,age_median_5y,age_21_over_5y,age_18_over_5y,age_20_to_24_5y,age_25_to_34_5y,age_35_to_44_5y,age_45_to_54_5y,age_55_to_59_5y,age_60_to_64_5y,age_65_over_5y,white_5y,black_5y,am_indian_5y,asian_5y,haw_pac_5y,other_race_5y,hisp_5y,white_not_hisp_5y,MHI_1y,MHI_white_1y,MHI_black_1y,MHI_am_indian_1y,MHI_asian_1y,MHI_haw_pac_1y,MHI_other_1y,MHI_two_plus_1y,MHI_hispanic_1y,MHI_white_not_hispanic_1y,population_1y,population_21plus_1y,male_percent_1y,female_percent_1y,age_median_1y,age_21_over_1y,age_18_over_1y,age_20_to_24_1y,age_25_to_34_1y,age_35_to_44_1y,age_45_to_54_1y,age_55_to_59_1y,age_60_to_64_1y,age_65_over_1y,white_1y,black_1y,am_indian_1y,asian_1y,haw_pac_1y,other_race_1y,hisp_1y,white_not_hisp_1y,Year,Square Miles
CHELAN,56135.0,56906.0,31190.0,45313.0,,,49439.0,73371.0,45398.0,60176.0,75757.0,54943.0,49.8,50.2,40.2,72.5,76.1,6.3,12.1,11.4,12.1,7.1,7.0,18.2,85.3,1.2,2.4,1.5,0.5,10.0,27.8,68.1,57132.0,59726.0,,48521.0,,,44725.0,73745.0,49451.0,61766.0,77036.0,56543.0,50.1,49.9,39.2,73.4,76.6,6.2,13.1,12.6,10.9,7.6,6.3,18.7,74.6,0.9,2.4,1.6,0.8,20.0,28.3,67.5,2019,2920.52
CLALLAM,46033.0,47230.0,16635.0,24688.0,38182.0,,27800.0,38438.0,29427.0,47694.0,71731.0,56780.0,49.5,50.5,49.4,79.2,82.0,5.4,10.2,9.5,13.1,8.4,8.6,24.9,88.1,1.3,7.3,2.5,0.3,0.8,5.4,84.3,46566.0,47909.0,,26000.0,,,,35753.0,22814.0,48655.0,72312.0,56946.0,50.3,49.7,50.3,78.8,82.2,5.4,9.6,9.6,12.1,7.7,9.0,26.8,88.0,1.3,7.1,2.5,,1.2,5.7,83.7,2014,1738.33
CLALLAM,47008.0,47967.0,7235.0,30141.0,41250.0,,28000.0,44875.0,35192.0,48449.0,72024.0,57085.0,49.6,50.4,49.7,79.3,82.1,5.3,10.3,9.6,12.4,8.2,8.7,25.5,87.9,1.4,7.1,2.5,0.4,1.1,5.5,84.0,46469.0,46998.0,,35655.0,56619.0,,,57554.0,38036.0,48433.0,72715.0,57276.0,49.5,50.5,49.8,78.8,82.2,5.8,10.7,9.2,11.1,7.3,9.3,26.8,87.9,0.9,7.2,2.1,0.5,1.8,5.8,83.4,2015,1738.33
CLALLAM,47253.0,48246.0,,31926.0,38482.0,48500.0,29607.0,42031.0,38636.0,48632.0,72397.0,57361.0,49.6,50.4,50.1,79.2,82.2,5.4,10.2,9.4,12.2,8.0,8.9,26.2,88.1,1.4,7.1,2.4,0.4,1.0,5.7,83.8,44929.0,45710.0,,31974.0,,,,41461.0,46265.0,45454.0,73486.0,57898.0,49.0,51.0,51.3,78.8,82.6,5.2,9.9,8.8,12.3,8.0,8.7,27.7,88.6,0.3,8.3,2.5,,,6.0,83.2,2016,1738.33
CLALLAM,47180.0,48500.0,27917.0,31483.0,39893.0,48854.0,29977.0,42981.0,35625.0,49161.0,72969.0,57926.0,49.4,50.6,50.3,79.4,82.3,5.2,10.3,9.4,11.7,7.9,9.0,26.9,88.3,1.5,7.0,2.3,0.4,1.1,5.9,83.6,48587.0,50315.0,30448.0,32835.0,59617.0,,38567.0,46636.0,26398.0,51050.0,74570.0,58745.0,49.0,51.0,50.8,78.8,81.9,4.7,10.0,9.5,10.8,8.0,8.7,28.0,88.0,1.6,6.8,2.5,0.7,1.2,6.1,83.0,2017,1738.33
CLALLAM,48002.0,49513.0,,29844.0,49398.0,51042.0,30924.0,39167.0,36682.0,50064.0,73439.0,58274.0,49.5,50.5,50.5,79.4,82.4,5.0,10.3,9.6,11.5,8.0,8.8,27.4,88.1,1.5,6.9,2.3,0.4,1.4,6.0,83.3,47907.0,49622.0,,25496.0,,,,23090.0,,49694.0,75474.0,60656.0,48.6,51.4,51.4,80.4,83.1,5.3,10.1,10.0,10.5,8.5,8.6,29.2,87.0,1.8,7.4,2.9,,1.5,6.3,82.5,2018,1738.33
CLALLAM,49913.0,51373.0,29444.0,34830.0,59808.0,51042.0,31909.0,46555.0,38082.0,52272.0,74487.0,59282.0,49.5,50.5,50.5,79.6,82.6,4.8,10.5,9.9,10.8,8.1,8.6,28.0,88.0,1.5,6.9,2.4,0.4,1.3,6.2,83.0,59001.0,59381.0,,46063.0,67885.0,,,65193.0,34198.0,60198.0,76737.0,61222.0,50.0,50.0,50.6,79.8,83.0,4.0,10.0,10.7,10.0,8.8,8.3,28.9,88.2,1.6,6.9,2.9,,0.4,6.4,82.5,2019,1738.33
CLARK,58225.0,59366.0,40019.0,44167.0,65414.0,54000.0,37143.0,52833.0,41942.0,59928.0,432549.0,303539.0,49.4,50.6,37.0,70.2,73.9,5.9,12.8,13.9,14.2,6.4,6.0,12.1,85.7,3.2,2.0,5.6,1.3,3.1,7.9,81.3,57588.0,58923.0,50580.0,41643.0,58428.0,120973.0,35994.0,41952.0,43511.0,59648.0,443817.0,314102.0,49.6,50.4,37.3,70.8,74.4,6.1,12.6,13.9,13.6,6.7,6.0,13.1,84.6,3.3,2.1,5.9,1.3,3.7,8.4,80.5,2014,629.0
CLARK,59551.0,60817.0,40865.0,48679.0,68061.0,59423.0,38621.0,57710.0,41657.0,61417.0,438272.0,309354.0,49.4,50.6,37.2,70.6,74.2,6.0,12.8,13.8,14.1,6.5,6.1,12.6,85.0,3.3,2.1,5.8,1.3,3.5,8.1,80.8,61741.0,63044.0,43281.0,41378.0,69874.0,,43031.0,54045.0,43194.0,63572.0,451008.0,321121.0,49.7,50.3,37.5,71.2,74.8,6.0,12.6,13.7,13.5,6.8,6.0,13.8,83.9,3.3,2.3,6.0,1.4,4.3,8.7,79.5,2015,629.0
CLARK,60756.0,61954.0,42788.0,50500.0,70577.0,51466.0,39786.0,55363.0,41362.0,62593.0,444506.0,315129.0,49.5,50.5,37.4,70.9,74.5,6.1,12.8,13.6,13.9,6.6,6.1,13.1,84.7,3.4,2.1,6.0,1.3,3.6,8.4,80.3,64275.0,65993.0,40861.0,78261.0,65463.0,,46250.0,49440.0,42489.0,66778.0,459495.0,327752.0,49.6,50.4,38.0,71.3,75.1,5.9,12.9,13.6,13.4,6.8,6.0,14.2,84.7,3.4,2.0,6.2,1.3,3.3,9.0,79.2,2016,629.0
