"Note: The report represents net sales that are self-reported by retail marijuana licensees. Information is subject to change due to late reports, corrections or audit findings. This file will be updated by approximately the 10th business day of each month.       ",,,
Last Update: 06/09/2020,,,
,,,
License Number,Reporting Period, Total Sales, Excise Tax Due 
415504,2017-11,"520,563","192,608"
415507,2017-11,"219,308","81,144"
415509,2017-11,"100,532","37,197"
415513,2017-11,"104,561","38,687"
415517,2017-11,"190,338","70,425"
415523,2017-11,"69,934","25,876"
415526,2017-11,"272,999","101,010"
415534,2017-11,"95,763","35,432"
415539,2017-11,"57,786","21,381"
415567,2017-11,"217,575","80,503"
415575,2017-11,"140,826","52,105"
415641,2017-11,"161,645","59,809"
415645,2017-11,"167,026","61,800"
415652,2017-11,"279,146","103,284"
415658,2017-11,"177,055","65,511"
416102,2017-11,"216,226","80,004"
416540,2017-11,"211,153","78,127"
417114,2017-11,"359,776","133,117"
417469,2017-11,"73,274","27,112"
417486,2017-11,"118,843","43,972"
417643,2017-11,"179,626","66,462"
417646,2017-11,"140,697","52,058"
417880,2017-11,"87,542","32,390"
417949,2017-11,7,3
419640,2017-11,"142,518","52,732"
420123,2017-11,"67,639","25,027"
420291,2017-11,"292,997","108,409"
420336,2017-11,"193,369","71,547"
420389,2017-11,"281,066","103,995"
420400,2017-11,"59,782","22,119"
420416,2017-11,"51,355","19,001"
420478,2017-11,"97,968","36,248"
420497,2017-11,"108,869","40,282"
420661,2017-11,"102,955","38,094"
420741,2017-11,"551,823","204,174"
420793,2017-11,"112,451","41,607"
420800,2017-11,"42,574","15,753"
420801,2017-11,"121,860","45,088"
420819,2017-11,"128,756","47,640"
420889,2017-11,"306,196","113,292"
420894,2017-11,"85,653","31,692"
420898,2017-11,"181,670","67,218"
420908,2017-11,"88,535","32,758"
420934,2017-11,"79,373","29,368"
421005,2017-11,"242,380","89,681"
421069,2017-11,"187,936","69,536"
421084,2017-11,"451,772","167,156"
421110,2017-11,"256,040","94,735"
421141,2017-11,"672,453","248,808"
421168,2017-11,"153,908","56,946"
421261,2017-11,"159,220","58,911"
421326,2017-11,"159,742","59,104"
421335,2017-11,"253,523","93,804"
421350,2017-11,"8,761","3,241"
421359,2017-11,"100,276","37,102"
421409,2017-11,"297,716","110,155"
421490,2017-11,"125,798","46,545"
421491,2017-11,"77,495","28,673"
421507,2017-11,"25,462","9,421"
421514,2017-11,"373,064","138,034"
421552,2017-11,"165,297","61,160"
421562,2017-11,"271,092","100,304"
