PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
413162,11/1/2014 - 11/30/2014,$79 ,$20 ,,,,,,,,,,
412566,11/1/2014 - 11/30/2014,"$2,000 ",$500 ,,,,,,,,,,
416539,11/1/2014 - 11/30/2014,"$2,275 ",$569 ,,,,,,,,,,
414042,11/1/2014 - 11/30/2014,"$10,000 ","$2,500 ",,,,,,,,,,
412815,11/1/2014 - 11/30/2014,$605 ,$151 ,,,,,,,,,,
412200,11/1/2014 - 11/30/2014,$400 ,$100 ,,,,,,,,,,
412031,11/1/2014 - 11/30/2014,"$2,720 ",$680 ,,,,,,,,,,
PRODUCERS PERIOD TOTAL,11/1/2014 - 11/30/2014,"$1,909,978 ","$477,495 ",,,,,,,,,,
412084,12/1/2014 - 12/31/2014,"$25,695 ","$6,424 ",,,,,,,,,,
412107,12/1/2014 - 12/31/2014,"$2,918 ",$730 ,,,,,,,,,,
412069,12/1/2014 - 12/31/2014,"$2,268 ",$567 ,,,,,,,,,,
412384,12/1/2014 - 12/31/2014,"$10,532 ","$2,633 ",,,,,,,,,,
412053,12/1/2014 - 12/31/2014,"$15,050 ","$3,763 ",,,,,,,,,,
412445,12/1/2014 - 12/31/2014,$923 ,$231 ,,,,,,,,,,
413038,12/1/2014 - 12/31/2014,$2 ,$1 ,,,,,,,,,,
412618,12/1/2014 - 12/31/2014,"$3,408 ",$852 ,,,,,,,,,,
412942,12/1/2014 - 12/31/2014,$427 ,$107 ,,,,,,,,,,
412044,12/1/2014 - 12/31/2014,$0.11 ,$0.03 ,,,,,,,,,,
412043,12/1/2014 - 12/31/2014,"$11,495 ","$2,874 ",,,,,,,,,,
412337,12/1/2014 - 12/31/2014,$600 ,$150 ,,,,,,,,,,
412064,12/1/2014 - 12/31/2014,$0.01 , $- ,,,,,,,,,,
412147,12/1/2014 - 12/31/2014,"$8,109 ","$2,027 ",,,,,,,,,,
412154,12/1/2014 - 12/31/2014,$3 ,$1 ,,,,,,,,,,
413913,12/1/2014 - 12/31/2014,"$4,680 ","$1,170 ",,,,,,,,,,
412681,12/1/2014 - 12/31/2014,"$2,061 ",$515 ,,,,,,,,,,
