PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
415821,4/1/2016 - 4/30/2016,$600 , $- ,,,,,,,,,,
414905,4/1/2016 - 4/30/2016,$5 , $- ,,,,,,,,,,
416519,4/1/2016 - 4/30/2016,"$12,357 ", $- ,,,,,,,,,,
415156,4/1/2016 - 4/30/2016,"$33,689 ", $- ,,,,,,,,,,
415790,4/1/2016 - 4/30/2016,"$16,721 ", $- ,,,,,,,,,,
415743,4/1/2016 - 4/30/2016,"$1,715 ", $- ,,,,,,,,,,
412196,4/1/2016 - 4/30/2016,"$12,105 ", $- ,,,,,,,,,,
412591,4/1/2016 - 4/30/2016,"$7,000 ", $- ,,,,,,,,,,
416226,4/1/2016 - 4/30/2016,"$5,309 ", $- ,,,,,,,,,,
417355,4/1/2016 - 4/30/2016,"$2,058 ", $- ,,,,,,,,,,
412251,4/1/2016 - 4/30/2016,"$3,171 ", $- ,,,,,,,,,,
416125,4/1/2016 - 4/30/2016,"$35,441 ", $- ,,,,,,,,,,
412249,4/1/2016 - 4/30/2016,"$36,094 ", $- ,,,,,,,,,,
413652,4/1/2016 - 4/30/2016,"$23,639 ", $- ,,,,,,,,,,
416973,4/1/2016 - 4/30/2016,"$4,866 ", $- ,,,,,,,,,,
413143,4/1/2016 - 4/30/2016,"$10,739 ", $- ,,,,,,,,,,
412866,4/1/2016 - 4/30/2016,"$178,432 ", $- ,,,,,,,,,,
413073,4/1/2016 - 4/30/2016,"$13,452 ", $- ,,,,,,,,,,
419959,4/1/2016 - 4/30/2016,"$54,840 ", $- ,,,,,,,,,,
412341,4/1/2016 - 4/30/2016,"$96,772 ", $- ,,,,,,,,,,
416772,4/1/2016 - 4/30/2016,$275 , $- ,,,,,,,,,,
412074,4/1/2016 - 4/30/2016,"$125,041 ", $- ,,,,,,,,,,
419150,4/1/2016 - 4/30/2016,"$70,142 ", $- ,,,,,,,,,,
417735,4/1/2016 - 4/30/2016,"$32,956 ", $- ,,,,,,,,,,
414287,4/1/2016 - 4/30/2016,"$118,998 ", $- ,,,,,,,,,,
416606,4/1/2016 - 4/30/2016,"$149,586 ", $- ,,,,,,,,,,
412603,4/1/2016 - 4/30/2016,($0.08), $- ,,,,,,,,,,
412096,4/1/2016 - 4/30/2016,"$5,000 ", $- ,,,,,,,,,,
419395,4/1/2016 - 4/30/2016,"$43,849 ", $- ,,,,,,,,,,
416409,4/1/2016 - 4/30/2016,$928 , $- ,,,,,,,,,,
417010,4/1/2016 - 4/30/2016,"$49,896 ", $- ,,,,,,,,,,
416693,4/1/2016 - 4/30/2016,"$8,435 ", $- ,,,,,,,,,,
413085,4/1/2016 - 4/30/2016,"$14,805 ", $- ,,,,,,,,,,
412373,4/1/2016 - 4/30/2016,"$139,768 ", $- ,,,,,,,,,,
415692,4/1/2016 - 4/30/2016,"$42,285 ", $- ,,,,,,,,,,
412792,4/1/2016 - 4/30/2016,"$179,814 ", $- ,,,,,,,,,,
412586,4/1/2016 - 4/30/2016,$249 , $- ,,,,,,,,,,
415719,4/1/2016 - 4/30/2016,"$60,310 ", $- ,,,,,,,,,,
417513,4/1/2016 - 4/30/2016,"$2,650 ", $- ,,,,,,,,,,
417214,4/1/2016 - 4/30/2016,"$30,636 ", $- ,,,,,,,,,,
417295,4/1/2016 - 4/30/2016,"$34,007 ", $- ,,,,,,,,,,
415691,4/1/2016 - 4/30/2016,"$13,580 ", $- ,,,,,,,,,,
415793,4/1/2016 - 4/30/2016,"$17,493 ", $- ,,,,,,,,,,
412258,4/1/2016 - 4/30/2016,"$298,662 ", $- ,,,,,,,,,,
414152,4/1/2016 - 4/30/2016,"$4,497 ", $- ,,,,,,,,,,
412596,4/1/2016 - 4/30/2016,$350 , $- ,,,,,,,,,,
418372,4/1/2016 - 4/30/2016,$870 , $- ,,,,,,,,,,
413123,4/1/2016 - 4/30/2016,"$11,712 ", $- ,,,,,,,,,,
412678,4/1/2016 - 4/30/2016,"$33,760 ", $- ,,,,,,,,,,
414232,4/1/2016 - 4/30/2016,"$41,451 ", $- ,,,,,,,,,,
413179,4/1/2016 - 4/30/2016,"$7,799 ", $- ,,,,,,,,,,
416530,4/1/2016 - 4/30/2016,"$21,324 ", $- ,,,,,,,,,,
412875,4/1/2016 - 4/30/2016,"$8,650 ", $- ,,,,,,,,,,
418021,4/1/2016 - 4/30/2016,"$22,769 ", $- ,,,,,,,,,,
413432,4/1/2016 - 4/30/2016,"$25,308 ", $- ,,,,,,,,,,
412109,4/1/2016 - 4/30/2016,"$36,650 ", $- ,,,,,,,,,,
412756,4/1/2016 - 4/30/2016,"$12,215 ", $- ,,,,,,,,,,
413090,4/1/2016 - 4/30/2016,"$5,786 ", $- ,,,,,,,,,,
417021,4/1/2016 - 4/30/2016,"$7,394 ", $- ,,,,,,,,,,
412618,4/1/2016 - 4/30/2016,"$102,527 ", $- ,,,,,,,,,,
417307,4/1/2016 - 4/30/2016,"$6,543 ", $- ,,,,,,,,,,
417320,4/1/2016 - 4/30/2016,"$1,275 ", $- ,,,,,,,,,,
412446,4/1/2016 - 4/30/2016,"$18,007 ", $- ,,,,,,,,,,
412576,4/1/2016 - 4/30/2016,"$8,048 ", $- ,,,,,,,,,,
412634,4/1/2016 - 4/30/2016,"$230,864 ", $- ,,,,,,,,,,
412303,4/1/2016 - 4/30/2016,"$5,829 ", $- ,,,,,,,,,,
416153,4/1/2016 - 4/30/2016,"$10,555 ", $- ,,,,,,,,,,
412500,4/1/2016 - 4/30/2016,"$55,637 ", $- ,,,,,,,,,,
415917,4/1/2016 - 4/30/2016,"$65,645 ", $- ,,,,,,,,,,
412895,4/1/2016 - 4/30/2016,$0.02 , $- ,,,,,,,,,,
412031,4/1/2016 - 4/30/2016,"$2,086 ", $- ,,,,,,,,,,
416231,4/1/2016 - 4/30/2016,"$30,794 ", $- ,,,,,,,,,,
416105,4/1/2016 - 4/30/2016,"$25,150 ", $- ,,,,,,,,,,
412155,4/1/2016 - 4/30/2016,"$37,023 ", $- ,,,,,,,,,,
412762,4/1/2016 - 4/30/2016,"$36,624 ", $- ,,,,,,,,,,
415752,4/1/2016 - 4/30/2016,"$8,635 ", $- ,,,,,,,,,,
412070,4/1/2016 - 4/30/2016,"$139,918 ",($455),,,,,,,,,,
412107,4/1/2016 - 4/30/2016,"$15,667 ", $- ,,,,,,,,,,
413163,4/1/2016 - 4/30/2016,"$135,744 ", $- ,,,,,,,,,,
416448,4/1/2016 - 4/30/2016,"$140,525 ", $- ,,,,,,,,,,
412441,4/1/2016 - 4/30/2016,"$11,001 ", $- ,,,,,,,,,,
412882,4/1/2016 - 4/30/2016,"$1,465,673 ",($4),,,,,,,,,,
416499,4/1/2016 - 4/30/2016,"$68,918 ", $- ,,,,,,,,,,
415937,4/1/2016 - 4/30/2016,"$22,557 ", $- ,,,,,,,,,,
416462,4/1/2016 - 4/30/2016,"$53,305 ", $- ,,,,,,,,,,
412435,4/1/2016 - 4/30/2016,"$44,254 ", $- ,,,,,,,,,,
413719,4/1/2016 - 4/30/2016,"$48,326 ", $- ,,,,,,,,,,
412612,4/1/2016 - 4/30/2016,"$30,954 ", $- ,,,,,,,,,,
416140,4/1/2016 - 4/30/2016,"$8,685 ", $- ,,,,,,,,,,
413097,4/1/2016 - 4/30/2016,"$37,349 ", $- ,,,,,,,,,,
413943,4/1/2016 - 4/30/2016,"$31,400 ", $- ,,,,,,,,,,
421766,4/1/2016 - 4/30/2016,"$6,036 ", $- ,,,,,,,,,,
412286,4/1/2016 - 4/30/2016,"$3,181 ", $- ,,,,,,,,,,
417498,4/1/2016 - 4/30/2016,"$7,470 ", $- ,,,,,,,,,,
412687,4/1/2016 - 4/30/2016,"$29,614 ", $- ,,,,,,,,,,
412540,4/1/2016 - 4/30/2016,"$13,145 ", $- ,,,,,,,,,,
413170,4/1/2016 - 4/30/2016,"$39,315 ", $- ,,,,,,,,,,
412262,4/1/2016 - 4/30/2016,"$13,908 ", $- ,,,,,,,,,,
415857,4/1/2016 - 4/30/2016,"$48,779 ", $- ,,,,,,,,,,
413377,4/1/2016 - 4/30/2016,"$5,622 ", $- ,,,,,,,,,,
412235,4/1/2016 - 4/30/2016,"$31,141 ", $- ,,,,,,,,,,
412720,4/1/2016 - 4/30/2016,"$100,913 ", $- ,,,,,,,,,,
416911,4/1/2016 - 4/30/2016,"$139,184 ", $- ,,,,,,,,,,
412409,4/1/2016 - 4/30/2016,"$17,988 ", $- ,,,,,,,,,,
412784,4/1/2016 - 4/30/2016,"$239,104 ",($46),,,,,,,,,,
412891,4/1/2016 - 4/30/2016,"$82,703 ", $- ,,,,,,,,,,
415695,4/1/2016 - 4/30/2016,"$37,361 ", $- ,,,,,,,,,,
417051,4/1/2016 - 4/30/2016,"$23,962 ", $- ,,,,,,,,,,
416544,4/1/2016 - 4/30/2016,"$14,476 ", $- ,,,,,,,,,,
412994,4/1/2016 - 4/30/2016,$503 , $- ,,,,,,,,,,
416236,4/1/2016 - 4/30/2016,"$18,242 ", $- ,,,,,,,,,,
412068,4/1/2016 - 4/30/2016,"$44,386 ", $- ,,,,,,,,,,
415459,4/1/2016 - 4/30/2016,"$31,309 ", $- ,,,,,,,,,,
412062,4/1/2016 - 4/30/2016,"$17,461 ", $- ,,,,,,,,,,
415707,4/1/2016 - 4/30/2016,"$43,068 ", $- ,,,,,,,,,,
415704,4/1/2016 - 4/30/2016,"$27,936 ", $- ,,,,,,,,,,
413077,4/1/2016 - 4/30/2016,"$46,464 ", $- ,,,,,,,,,,
415768,4/1/2016 - 4/30/2016,"$15,085 ", $- ,,,,,,,,,,
413667,4/1/2016 - 4/30/2016,"$24,856 ", $- ,,,,,,,,,,
416124,4/1/2016 - 4/30/2016,"$7,596 ", $- ,,,,,,,,,,
412826,4/1/2016 - 4/30/2016,"$55,971 ", $- ,,,,,,,,,,
422257,4/1/2016 - 4/30/2016,"$9,738 ", $- ,,,,,,,,,,
417346,4/1/2016 - 4/30/2016,$789 , $- ,,,,,,,,,,
416106,4/1/2016 - 4/30/2016,"$20,303 ", $- ,,,,,,,,,,
416063,4/1/2016 - 4/30/2016,"$104,733 ", $- ,,,,,,,,,,
416206,4/1/2016 - 4/30/2016,"$34,966 ", $- ,,,,,,,,,,
414115,4/1/2016 - 4/30/2016,"$28,231 ", $- ,,,,,,,,,,
416931,4/1/2016 - 4/30/2016,"$2,001 ", $- ,,,,,,,,,,
415921,4/1/2016 - 4/30/2016,"$14,247 ", $- ,,,,,,,,,,
414023,4/1/2016 - 4/30/2016,"$6,229 ", $- ,,,,,,,,,,
417586,4/1/2016 - 4/30/2016,"$42,746 ", $- ,,,,,,,,,,
414042,4/1/2016 - 4/30/2016,"$23,351 ", $- ,,,,,,,,,,
417168,4/1/2016 - 4/30/2016,"$47,733 ", $- ,,,,,,,,,,
413021,4/1/2016 - 4/30/2016,"$77,356 ", $- ,,,,,,,,,,
412856,4/1/2016 - 4/30/2016,"$1,505 ", $- ,,,,,,,,,,
412855,4/1/2016 - 4/30/2016,"$11,601 ", $- ,,,,,,,,,,
412587,4/1/2016 - 4/30/2016,"$3,557 ", $- ,,,,,,,,,,
412130,4/1/2016 - 4/30/2016,"$1,210 ", $- ,,,,,,,,,,
417338,4/1/2016 - 4/30/2016,"$23,761 ", $- ,,,,,,,,,,
412358,4/1/2016 - 4/30/2016,"$7,814 ", $- ,,,,,,,,,,
417075,4/1/2016 - 4/30/2016,"$2,006 ", $- ,,,,,,,,,,
412615,4/1/2016 - 4/30/2016,"$11,767 ", $- ,,,,,,,,,,
416504,4/1/2016 - 4/30/2016,"$5,286 ", $- ,,,,,,,,,,
416942,4/1/2016 - 4/30/2016,"$83,522 ", $- ,,,,,,,,,,
417698,4/1/2016 - 4/30/2016,"$41,788 ", $- ,,,,,,,,,,
416310,4/1/2016 - 4/30/2016,"$10,677 ", $- ,,,,,,,,,,
413154,4/1/2016 - 4/30/2016,"$7,130 ", $- ,,,,,,,,,,
415852,4/1/2016 - 4/30/2016,"$68,561 ", $- ,,,,,,,,,,
412192,4/1/2016 - 4/30/2016,"$2,297 ", $- ,,,,,,,,,,
412273,4/1/2016 - 4/30/2016,"$120,953 ", $- ,,,,,,,,,,
413665,4/1/2016 - 4/30/2016,"$96,955 ", $- ,,,,,,,,,,
412425,4/1/2016 - 4/30/2016,"$159,050 ", $- ,,,,,,,,,,
415914,4/1/2016 - 4/30/2016,"$55,509 ", $- ,,,,,,,,,,
413942,4/1/2016 - 4/30/2016,"$20,768 ", $- ,,,,,,,,,,
416561,4/1/2016 - 4/30/2016,"$14,936 ", $- ,,,,,,,,,,
412208,4/1/2016 - 4/30/2016,"$5,600 ", $- ,,,,,,,,,,
412112,4/1/2016 - 4/30/2016,"$188,672 ", $- ,,,,,,,,,,
412069,4/1/2016 - 4/30/2016,"$10,851 ", $- ,,,,,,,,,,
415748,4/1/2016 - 4/30/2016,"$47,008 ", $- ,,,,,,,,,,
416557,4/1/2016 - 4/30/2016,"$3,113 ", $- ,,,,,,,,,,
417068,4/1/2016 - 4/30/2016,"$166,880 ", $- ,,,,,,,,,,
412431,4/1/2016 - 4/30/2016,"$34,297 ", $- ,,,,,,,,,,
415900,4/1/2016 - 4/30/2016,"$2,058 ", $- ,,,,,,,,,,
416194,4/1/2016 - 4/30/2016,"$7,997 ", $- ,,,,,,,,,,
412621,4/1/2016 - 4/30/2016,"$23,027 ", $- ,,,,,,,,,,
416968,4/1/2016 - 4/30/2016,"$39,743 ", $- ,,,,,,,,,,
412236,4/1/2016 - 4/30/2016,"$104,233 ", $- ,,,,,,,,,,
412952,4/1/2016 - 4/30/2016,"$29,580 ", $- ,,,,,,,,,,
412843,4/1/2016 - 4/30/2016,"$1,492 ", $- ,,,,,,,,,,
413180,4/1/2016 - 4/30/2016,"$5,855 ", $- ,,,,,,,,,,
415935,4/1/2016 - 4/30/2016,"$74,640 ", $- ,,,,,,,,,,
413199,4/1/2016 - 4/30/2016,"$53,969 ", $- ,,,,,,,,,,
413099,4/1/2016 - 4/30/2016,"$33,066 ", $- ,,,,,,,,,,
415819,4/1/2016 - 4/30/2016,"$134,279 ", $- ,,,,,,,,,,
412056,4/1/2016 - 4/30/2016,"$135,180 ", $- ,,,,,,,,,,
416566,4/1/2016 - 4/30/2016,"$20,725 ", $- ,,,,,,,,,,
412679,4/1/2016 - 4/30/2016,"$60,687 ", $- ,,,,,,,,,,
413718,4/1/2016 - 4/30/2016,"$299,944 ", $- ,,,,,,,,,,
412585,4/1/2016 - 4/30/2016,$550 , $- ,,,,,,,,,,
415815,4/1/2016 - 4/30/2016,"$4,038 ", $- ,,,,,,,,,,
412076,4/1/2016 - 4/30/2016,"$70,537 ", $- ,,,,,,,,,,
413721,4/1/2016 - 4/30/2016,"$2,844 ", $- ,,,,,,,,,,
414200,4/1/2016 - 4/30/2016,"$10,502 ", $- ,,,,,,,,,,
413463,4/1/2016 - 4/30/2016,"$12,721 ", $- ,,,,,,,,,,
412594,4/1/2016 - 4/30/2016,"$8,359 ", $- ,,,,,,,,,,
417078,4/1/2016 - 4/30/2016,"$6,600 ", $- ,,,,,,,,,,
417285,4/1/2016 - 4/30/2016,$638 , $- ,,,,,,,,,,
412111,4/1/2016 - 4/30/2016,"$125,534 ", $- ,,,,,,,,,,
412589,4/1/2016 - 4/30/2016,"$31,239 ", $- ,,,,,,,,,,
421873,4/1/2016 - 4/30/2016,"$62,252 ", $- ,,,,,,,,,,
416977,4/1/2016 - 4/30/2016,$480 , $- ,,,,,,,,,,
412132,4/1/2016 - 4/30/2016,"$111,067 ", $- ,,,,,,,,,,
413138,4/1/2016 - 4/30/2016,"$25,969 ", $- ,,,,,,,,,,
416493,4/1/2016 - 4/30/2016,"$1,863 ", $- ,,,,,,,,,,
412524,4/1/2016 - 4/30/2016,"$89,955 ", $- ,,,,,,,,,,
415762,4/1/2016 - 4/30/2016,"$13,999 ", $- ,,,,,,,,,,
417121,4/1/2016 - 4/30/2016,"$6,400 ", $- ,,,,,,,,,,
415802,4/1/2016 - 4/30/2016,"$8,111 ", $- ,,,,,,,,,,
412428,4/1/2016 - 4/30/2016,"$39,208 ", $- ,,,,,,,,,,
413131,4/1/2016 - 4/30/2016,"$46,175 ", $- ,,,,,,,,,,
412688,4/1/2016 - 4/30/2016,"$29,333 ", $- ,,,,,,,,,,
413177,4/1/2016 - 4/30/2016,"$20,064 ", $- ,,,,,,,,,,
412598,4/1/2016 - 4/30/2016,"$225,436 ", $- ,,,,,,,,,,
413134,4/1/2016 - 4/30/2016,"$24,464 ", $- ,,,,,,,,,,
412403,4/1/2016 - 4/30/2016,"$14,403 ", $- ,,,,,,,,,,
412445,4/1/2016 - 4/30/2016,"$4,014 ", $- ,,,,,,,,,,
415711,4/1/2016 - 4/30/2016,"$69,711 ", $- ,,,,,,,,,,
416843,4/1/2016 - 4/30/2016,"$54,771 ", $- ,,,,,,,,,,
416406,4/1/2016 - 4/30/2016,"$32,096 ", $- ,,,,,,,,,,
412686,4/1/2016 - 4/30/2016,"$8,137 ", $- ,,,,,,,,,,
412597,4/1/2016 - 4/30/2016,"$58,478 ", $- ,,,,,,,,,,
412037,4/1/2016 - 4/30/2016,"$46,151 ", $- ,,,,,,,,,,
416545,4/1/2016 - 4/30/2016,"$10,816 ", $- ,,,,,,,,,,
417196,4/1/2016 - 4/30/2016,$482 , $- ,,,,,,,,,,
412299,4/1/2016 - 4/30/2016,"$29,626 ", $- ,,,,,,,,,,
412346,4/1/2016 - 4/30/2016,"$198,573 ", $- ,,,,,,,,,,
413434,4/1/2016 - 4/30/2016,"$14,118 ", $- ,,,,,,,,,,
412369,4/1/2016 - 4/30/2016,"$1,084 ", $- ,,,,,,,,,,
412082,4/1/2016 - 4/30/2016,"$30,014 ", $- ,,,,,,,,,,
412226,4/1/2016 - 4/30/2016,"$2,325 ", $- ,,,,,,,,,,
412362,4/1/2016 - 4/30/2016,"$12,501 ", $- ,,,,,,,,,,
412106,4/1/2016 - 4/30/2016,"$15,085 ", $- ,,,,,,,,,,
412084,4/1/2016 - 4/30/2016,"$22,874 ", $- ,,,,,,,,,,
415672,4/1/2016 - 4/30/2016,$600 , $- ,,,,,,,,,,
413690,4/1/2016 - 4/30/2016,"$8,776 ", $- ,,,,,,,,,,
412904,4/1/2016 - 4/30/2016,"$6,574 ", $- ,,,,,,,,,,
412570,4/1/2016 - 4/30/2016,"$1,615 ", $- ,,,,,,,,,,
416027,4/1/2016 - 4/30/2016,"$4,500 ", $- ,,,,,,,,,,
416184,4/1/2016 - 4/30/2016,"$31,773 ", $- ,,,,,,,,,,
414235,4/1/2016 - 4/30/2016,$0.08 , $- ,,,,,,,,,,
416859,4/1/2016 - 4/30/2016,"$94,478 ", $- ,,,,,,,,,,
412422,4/1/2016 - 4/30/2016,"$78,015 ", $- ,,,,,,,,,,
412764,4/1/2016 - 4/30/2016,"$15,573 ", $- ,,,,,,,,,,
413029,4/1/2016 - 4/30/2016,"$232,744 ", $- ,,,,,,,,,,
416539,4/1/2016 - 4/30/2016,"$113,778 ", $- ,,,,,,,,,,
415853,4/1/2016 - 4/30/2016,"$4,366 ", $- ,,,,,,,,,,
412073,4/1/2016 - 4/30/2016,"$15,384 ", $- ,,,,,,,,,,
416609,4/1/2016 - 4/30/2016,"$211,079 ", $- ,,,,,,,,,,
413711,4/1/2016 - 4/30/2016,"$49,627 ", $- ,,,,,,,,,,
413922,4/1/2016 - 4/30/2016,"$35,977 ", $- ,,,,,,,,,,
417380,4/1/2016 - 4/30/2016,"$136,457 ", $- ,,,,,,,,,,
416445,4/1/2016 - 4/30/2016,"$132,118 ", $- ,,,,,,,,,,
417053,4/1/2016 - 4/30/2016,"$64,338 ", $- ,,,,,,,,,,
415738,4/1/2016 - 4/30/2016,"$22,380 ", $- ,,,,,,,,,,
413455,4/1/2016 - 4/30/2016,"$1,425 ", $- ,,,,,,,,,,
412104,4/1/2016 - 4/30/2016,"$15,140 ", $- ,,,,,,,,,,
415680,4/1/2016 - 4/30/2016,"$11,492 ", $- ,,,,,,,,,,
415873,4/1/2016 - 4/30/2016,"$2,060 ", $- ,,,,,,,,,,
413223,4/1/2016 - 4/30/2016,"$8,297 ", $- ,,,,,,,,,,
412754,4/1/2016 - 4/30/2016,"$43,140 ", $- ,,,,,,,,,,
416579,4/1/2016 - 4/30/2016,"$20,755 ", $- ,,,,,,,,,,
416155,4/1/2016 - 4/30/2016,"$13,620 ", $- ,,,,,,,,,,
412808,4/1/2016 - 4/30/2016,"$78,498 ",($166),,,,,,,,,,
413038,4/1/2016 - 4/30/2016,"$52,895 ", $- ,,,,,,,,,,
412242,4/1/2016 - 4/30/2016,"$26,543 ", $- ,,,,,,,,,,
412347,4/1/2016 - 4/30/2016,"$323,340 ",($3),,,,,,,,,,
412337,4/1/2016 - 4/30/2016,"$17,353 ", $- ,,,,,,,,,,
412609,4/1/2016 - 4/30/2016,"$21,926 ", $- ,,,,,,,,,,
413324,4/1/2016 - 4/30/2016,"$14,353 ", $- ,,,,,,,,,,
PROCESSORS PERIOD TOTAL,4/1/2016 - 4/30/2016,"$25,321,191 ","($1,349)",,,,,,,,,,
413650,5/1/2016 - 5/31/2016,"$17,093 ", $- ,,,,,,,,,,
412200,5/1/2016 - 5/31/2016,"$24,611 ", $- ,,,,,,,,,,
416426,5/1/2016 - 5/31/2016,"$51,733 ", $- ,,,,,,,,,,
413478,5/1/2016 - 5/31/2016,"$203,475 ",($7),,,,,,,,,,
412599,5/1/2016 - 5/31/2016,"$25,313 ", $- ,,,,,,,,,,
416657,5/1/2016 - 5/31/2016,"$13,936 ", $- ,,,,,,,,,,
415684,5/1/2016 - 5/31/2016,"$2,302 ", $- ,,,,,,,,,,
415998,5/1/2016 - 5/31/2016,"$138,736 ", $- ,,,,,,,,,,
417142,5/1/2016 - 5/31/2016,"$50,877 ", $- ,,,,,,,,,,
415700,5/1/2016 - 5/31/2016,"$172,129 ", $- ,,,,,,,,,,
416228,5/1/2016 - 5/31/2016,"$3,016 ", $- ,,,,,,,,,,
416929,5/1/2016 - 5/31/2016,"$2,000 ", $- ,,,,,,,,,,
417065,5/1/2016 - 5/31/2016,"$20,980 ", $- ,,,,,,,,,,
412624,5/1/2016 - 5/31/2016,"$4,508 ", $- ,,,,,,,,,,
412991,5/1/2016 - 5/31/2016,"$36,722 ", $- ,,,,,,,,,,
412138,5/1/2016 - 5/31/2016,"$35,470 ", $- ,,,,,,,,,,
415727,5/1/2016 - 5/31/2016,"$19,322 ", $- ,,,,,,,,,,
416043,5/1/2016 - 5/31/2016,"$31,940 ", $- ,,,,,,,,,,
413462,5/1/2016 - 5/31/2016,"$544,096 ", $- ,,,,,,,,,,
417335,5/1/2016 - 5/31/2016,"$15,988 ", $- ,,,,,,,,,,
412118,5/1/2016 - 5/31/2016,"$45,924 ", $- ,,,,,,,,,,
412110,5/1/2016 - 5/31/2016,"$69,295 ", $- ,,,,,,,,,,
416175,5/1/2016 - 5/31/2016,"$6,617 ", $- ,,,,,,,,,,
412759,5/1/2016 - 5/31/2016,"$303,941 ", $- ,,,,,,,,,,
412402,5/1/2016 - 5/31/2016,"$99,201 ", $- ,,,,,,,,,,
412601,5/1/2016 - 5/31/2016,"$27,152 ", $- ,,,,,,,,,,
416894,5/1/2016 - 5/31/2016,"$3,000 ", $- ,,,,,,,,,,
416323,5/1/2016 - 5/31/2016,"$8,275 ", $- ,,,,,,,,,,
415726,5/1/2016 - 5/31/2016,"$17,003 ", $- ,,,,,,,,,,
412179,5/1/2016 - 5/31/2016,"$6,733 ", $- ,,,,,,,,,,
415968,5/1/2016 - 5/31/2016,"$6,379 ", $- ,,,,,,,,,,
412169,5/1/2016 - 5/31/2016,"$61,481 ", $- ,,,,,,,,,,
413622,5/1/2016 - 5/31/2016,"$92,569 ", $- ,,,,,,,,,,
412213,5/1/2016 - 5/31/2016,$600 , $- ,,,,,,,,,,
419493,5/1/2016 - 5/31/2016,"$6,800 ", $- ,,,,,,,,,,
416203,5/1/2016 - 5/31/2016,"$16,930 ", $- ,,,,,,,,,,
412357,5/1/2016 - 5/31/2016,"$11,208 ", $- ,,,,,,,,,,
413075,5/1/2016 - 5/31/2016,"$151,286 ", $- ,,,,,,,,,,
412969,5/1/2016 - 5/31/2016,"$153,227 ", $- ,,,,,,,,,,
412149,5/1/2016 - 5/31/2016,"$475,457 ", $- ,,,,,,,,,,
412141,5/1/2016 - 5/31/2016,"$91,774 ", $- ,,,,,,,,,,
412723,5/1/2016 - 5/31/2016,"$284,293 ", $- ,,,,,,,,,,
418322,5/1/2016 - 5/31/2016,"$20,395 ", $- ,,,,,,,,,,
413641,5/1/2016 - 5/31/2016,"$31,049 ", $- ,,,,,,,,,,
412902,5/1/2016 - 5/31/2016,"$47,461 ", $- ,,,,,,,,,,
412053,5/1/2016 - 5/31/2016,"$172,332 ", $- ,,,,,,,,,,
413716,5/1/2016 - 5/31/2016,"$1,800 ", $- ,,,,,,,,,,
421497,5/1/2016 - 5/31/2016,"$5,980 ", $- ,,,,,,,,,,
415846,5/1/2016 - 5/31/2016,$868 , $- ,,,,,,,,,,
413181,5/1/2016 - 5/31/2016,"$19,416 ", $- ,,,,,,,,,,
418185,5/1/2016 - 5/31/2016,"$19,872 ", $- ,,,,,,,,,,
412830,5/1/2016 - 5/31/2016,"$4,096 ", $- ,,,,,,,,,,
412947,5/1/2016 - 5/31/2016,"$6,001 ", $- ,,,,,,,,,,
415835,5/1/2016 - 5/31/2016,"$115,507 ", $- ,,,,,,,,,,
413210,5/1/2016 - 5/31/2016,"$2,910 ", $- ,,,,,,,,,,
416825,5/1/2016 - 5/31/2016,"$5,381 ", $- ,,,,,,,,,,
417316,5/1/2016 - 5/31/2016,"$3,550 ", $- ,,,,,,,,,,
416039,5/1/2016 - 5/31/2016,"$17,130 ", $- ,,,,,,,,,,
416308,5/1/2016 - 5/31/2016,"$11,293 ", $- ,,,,,,,,,,
412738,5/1/2016 - 5/31/2016,"$56,773 ", $- ,,,,,,,,,,
413380,5/1/2016 - 5/31/2016,"$6,654 ", $- ,,,,,,,,,,
419969,5/1/2016 - 5/31/2016,"$23,021 ", $- ,,,,,,,,,,
416908,5/1/2016 - 5/31/2016,"$14,839 ", $- ,,,,,,,,,,
412240,5/1/2016 - 5/31/2016,"$108,379 ", $- ,,,,,,,,,,
412544,5/1/2016 - 5/31/2016,"$24,156 ", $- ,,,,,,,,,,
416585,5/1/2016 - 5/31/2016,$895 , $- ,,,,,,,,,,
416196,5/1/2016 - 5/31/2016,"$9,816 ", $- ,,,,,,,,,,
414149,5/1/2016 - 5/31/2016,"$1,071 ", $- ,,,,,,,,,,
420287,5/1/2016 - 5/31/2016,"$12,026 ", $- ,,,,,,,,,,
412077,5/1/2016 - 5/31/2016,"$29,221 ", $- ,,,,,,,,,,
412180,5/1/2016 - 5/31/2016,"$46,575 ", $- ,,,,,,,,,,
412964,5/1/2016 - 5/31/2016,"$86,599 ", $- ,,,,,,,,,,
416032,5/1/2016 - 5/31/2016,"$4,352 ", $- ,,,,,,,,,,
412861,5/1/2016 - 5/31/2016,"$81,260 ", $- ,,,,,,,,,,
412207,5/1/2016 - 5/31/2016,"$8,200 ", $- ,,,,,,,,,,
412623,5/1/2016 - 5/31/2016,"$83,552 ", $- ,,,,,,,,,,
415971,5/1/2016 - 5/31/2016,"$156,176 ", $- ,,,,,,,,,,
413626,5/1/2016 - 5/31/2016,"$10,092 ", $- ,,,,,,,,,,
412858,5/1/2016 - 5/31/2016,"$11,987 ", $- ,,,,,,,,,,
412622,5/1/2016 - 5/31/2016,"$21,823 ", $- ,,,,,,,,,,
412566,5/1/2016 - 5/31/2016,"$3,469 ", $- ,,,,,,,,,,
